2, 960, Note_on_c, 0, 76, 71
2, 1200, Note_off_c, 0, 76, 0
2, 1200, Note_on_c, 0, 75, 38
2, 1440, Note_off_c, 0, 75, 0
2, 1440, Note_on_c, 0, 76, 57
2, 1680, Note_off_c, 0, 76, 0
2, 1680, Note_on_c, 0, 75, 70
2, 1920, Note_off_c, 0, 75, 0
2, 1920, Note_on_c, 0, 76, 76
2, 2160, Note_off_c, 0, 76, 0
2, 2160, Note_on_c, 0, 71, 76
2, 2400, Note_off_c, 0, 71, 0
2, 2400, Note_on_c, 0, 74, 76
2, 2640, Note_off_c, 0, 74, 0
2, 2640, Note_on_c, 0, 72, 83
2, 2880, Note_off_c, 0, 72, 0
2, 2880, Note_on_c, 0, 69, 89
2, 2880, Sequencer_specific, 4, 5, 15, 15, 2
2, 2880, Note_on_c, 0, 45, 64
2, 3120, Note_off_c, 0, 45, 0
2, 3120, Note_on_c, 0, 52, 64
2, 3360, Note_off_c, 0, 52, 0
2, 3360, Note_on_c, 0, 57, 70
2, 3600, Note_off_c, 0, 69, 0
2, 3600, Note_off_c, 0, 57, 0
2, 3600, Note_on_c, 0, 60, 76
2, 3840, Note_off_c, 0, 60, 0
2, 3840, Note_on_c, 0, 64, 76
2, 4080, Note_off_c, 0, 64, 0
2, 4080, Note_on_c, 0, 69, 76
2, 4320, Note_off_c, 0, 69, 0
2, 4320, Note_on_c, 0, 71, 83
2, 4320, Sequencer_specific, 4, 5, 15, 15, 2
2, 4320, Note_on_c, 0, 40, 64
2, 4560, Note_off_c, 0, 40, 0
2, 4560, Note_on_c, 0, 52, 64
2, 4800, Note_off_c, 0, 52, 0
2, 4800, Note_on_c, 0, 56, 70
2, 5040, Note_off_c, 0, 71, 0
2, 5040, Note_off_c, 0, 56, 0
2, 5040, Note_on_c, 0, 64, 76
2, 5280, Note_off_c, 0, 64, 0
2, 5280, Note_on_c, 0, 68, 76
2, 5520, Note_off_c, 0, 68, 0
2, 5520, Note_on_c, 0, 71, 76
2, 5760, Note_off_c, 0, 71, 0
2, 5760, Note_on_c, 0, 72, 83
2, 5760, Note_on_c, 0, 45, 64
2, 6000, Note_off_c, 0, 45, 0
2, 6000, Note_on_c, 0, 52, 70
2, 6240, Note_off_c, 0, 52, 0
2, 6240, Note_on_c, 0, 57, 76
2, 6480, Note_off_c, 0, 72, 0
2, 6480, Note_off_c, 0, 57, 0
2, 6480, Note_on_c, 0, 64, 76
2, 6720, Note_off_c, 0, 64, 0
2, 6720, Note_on_c, 0, 76, 76
2, 6960, Note_off_c, 0, 76, 0
2, 6960, Note_on_c, 0, 75, 64
2, 7200, Note_off_c, 0, 75, 0
2, 7200, Note_on_c, 0, 76, 76
2, 7440, Note_off_c, 0, 76, 0
2, 7440, Note_on_c, 0, 75, 70
2, 7680, Note_off_c, 0, 75, 0
2, 7680, Note_on_c, 0, 76, 76
2, 7920, Note_off_c, 0, 76, 0
2, 7920, Note_on_c, 0, 71, 76
2, 8160, Note_off_c, 0, 71, 0
2, 8160, Note_on_c, 0, 74, 76
2, 8400, Note_off_c, 0, 74, 0
2, 8400, Note_on_c, 0, 72, 76
2, 8640, Note_off_c, 0, 72, 0
2, 8640, Note_on_c, 0, 69, 83
2, 8640, Sequencer_specific, 4, 5, 15, 15, 2
2, 8640, Note_on_c, 0, 45, 57
2, 8880, Note_off_c, 0, 45, 0
2, 8880, Note_on_c, 0, 52, 64
2, 9120, Note_off_c, 0, 52, 0
2, 9120, Note_on_c, 0, 57, 70
2, 9360, Note_off_c, 0, 69, 0
2, 9360, Note_off_c, 0, 57, 0
2, 9360, Note_on_c, 0, 60, 76
2, 9600, Note_off_c, 0, 60, 0
2, 9600, Note_on_c, 0, 64, 76
2, 9840, Note_off_c, 0, 64, 0
2, 9840, Note_on_c, 0, 69, 76
2, 10080, Note_off_c, 0, 69, 0
2, 10080, Note_on_c, 0, 71, 83
2, 10080, Sequencer_specific, 4, 5, 15, 15, 2
2, 10080, Note_on_c, 0, 40, 64
2, 10320, Note_off_c, 0, 40, 0
2, 10320, Note_on_c, 0, 52, 70
2, 10560, Note_off_c, 0, 52, 0
2, 10560, Note_on_c, 0, 56, 76
2, 10800, Note_off_c, 0, 71, 0
2, 10800, Note_off_c, 0, 56, 0
2, 10800, Note_on_c, 0, 64, 76
2, 11040, Note_off_c, 0, 64, 0
2, 11040, Note_on_c, 0, 72, 76
2, 11280, Note_off_c, 0, 72, 0
2, 11280, Note_on_c, 0, 71, 76
2, 11520, Note_off_c, 0, 71, 0
2, 11520, Note_on_c, 0, 69, 83
2, 11520, Note_on_c, 0, 45, 64
2, 11760, Note_off_c, 0, 45, 0
2, 11760, Note_on_c, 0, 52, 70
2, 12000, Note_off_c, 0, 52, 0
2, 12000, Note_on_c, 0, 57, 70
2, 12240, Note_off_c, 0, 69, 0
2, 12240, Note_off_c, 0, 57, 0
2, 12480, Note_on_c, 0, 76, 64
2, 12720, Note_off_c, 0, 76, 0
2, 12720, Note_on_c, 0, 75, 70
2, 12960, Note_off_c, 0, 75, 0
2, 12960, Note_on_c, 0, 76, 70
2, 13200, Note_off_c, 0, 76, 0
2, 13200, Note_on_c, 0, 75, 64
2, 13440, Note_off_c, 0, 75, 0
2, 13440, Note_on_c, 0, 76, 76
2, 13680, Note_off_c, 0, 76, 0
2, 13680, Note_on_c, 0, 71, 76
2, 13920, Note_off_c, 0, 71, 0
2, 13920, Note_on_c, 0, 74, 76
2, 14160, Note_off_c, 0, 74, 0
2, 14160, Note_on_c, 0, 72, 76
